Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
0,Giovanni Di Lorenzo,DF,29.0,36.2,2.7,3,-0.3,4.7,4,0.7,0.4,7.4,0.07,0.13,0.2,0.07,0.2
1,Andre-Frank Zambo Anguissa,MF,27.0,33.9,4.4,3,1.4,2.6,5,-2.4,-1.0,7.0,0.13,0.08,0.21,0.13,0.21
2,Kim Min-jae,DF,26.0,33.9,1.0,2,-1.0,1.9,2,-0.1,-1.1,2.9,0.03,0.06,0.09,0.03,0.09
3,Stanislav Lobotka,MF,28.0,34.5,0.6,1,-0.4,1.0,1,0.0,-0.4,1.6,0.02,0.03,0.05,0.02,0.05
4,Alex Meret,GK,26.0,34.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Victor Osimhen,FW,24.0,28.5,18.9,24,-5.1,2.8,4,-1.2,-6.3,21.8,0.75,0.1,0.85,0.66,0.76
6,Khvicha Kvaratskhelia,FW,22.0,28.0,6.6,10,-3.4,7.7,10,-2.3,-5.7,14.2,0.29,0.27,0.56,0.23,0.51
7,Amir Rrahmani,DF,29.0,27.2,1.8,2,-0.2,1.0,1,0.0,-0.2,2.9,0.07,0.04,0.11,0.07,0.11
8,Piotr Zieliński,MF,29.0,25.4,3.5,3,0.5,7.4,8,-0.6,-0.1,10.9,0.14,0.29,0.43,0.14,0.43
9,Mário Rui,DF,32.0,19.4,0.6,0,0.6,4.0,6,-2.0,-1.4,4.6,0.03,0.2,0.24,0.03,0.24
10,Hirving Lozano,FW,27.0,17.8,4.6,2,2.6,3.3,3,0.3,2.9,7.9,0.3,0.19,0.49,0.26,0.45
11,Mathías Olivera,DF,25.0,18.3,0.7,2,-1.3,2.1,2,0.1,-1.2,2.8,0.04,0.12,0.16,0.04,0.16
12,Elif Elmas,"FW,MF",23.0,18.1,3.3,5,-1.7,1.9,3,-1.1,-2.8,5.2,0.22,0.11,0.33,0.18,0.29
13,Matteo Politano,FW,29.0,13.0,1.7,1,0.7,3.6,3,0.6,1.3,5.4,0.32,0.28,0.6,0.13,0.41
14,Juan Jesus,DF,31.0,10.4,0.2,1,-0.8,0.1,0,0.1,-0.7,0.3,0.02,0.01,0.02,0.02,0.02
15,Giacomo Raspadori,"FW,MF",23.0,10.1,3.5,2,1.5,1.3,2,-0.7,0.8,4.8,0.35,0.13,0.47,0.35,0.47
16,Tanguy Ndombele,MF,26.0,9.0,1.0,1,0.0,0.5,0,0.5,0.5,1.4,0.11,0.05,0.16,0.11,0.16
17,Leo Skiri Østigård,DF,23.0,4.7,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.02,0.0,0.02,0.02,0.02
18,Pierluigi Gollini,GK,28.0,4.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Alessio Zerbin,FW,24.0,2.2,0.3,0,0.3,0.0,0,0.0,0.3,0.3,0.12,0.0,0.12,0.12,0.12
20,Bartosz Bereszyński,DF,30.0,1.8,0.0,0,0.0,0.2,1,-0.8,-0.8,0.2,0.0,0.1,0.1,0.0,0.1
21,Diego Demme,MF,31.0,1.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
22,Giovanni Simeone,FW,27.0,4.5,1.4,4,-2.6,1.2,1,0.2,-2.4,2.5,0.3,0.26,0.56,0.3,0.56
23,Gianluca Gaetano,MF,23.0,0.8,1.1,1,0.1,0.2,1,-0.8,-0.7,1.2,1.42,0.22,1.64,1.42,1.64
24,Karim Zedadka,FW,22.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Adam Ounas,FW,26.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23
26,Alessandro Zanoli,DF,22.0,0.1,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.47,0.0,0.47,0.47,0.47
27,Ederson,GK,28.0,35.0,0.0,0,0.0,0.2,1,-0.8,-0.8,0.2,0.0,0.01,0.01,0.0,0.01
28,Rodri,MF,26.0,32.3,4.6,2,2.6,4.1,6,-1.9,0.7,8.7,0.14,0.13,0.27,0.14,0.27
29,Erling Haaland,FW,22.0,30.8,23.1,29,-5.9,5.3,8,-2.7,-8.6,28.4,0.92,0.17,1.1,0.75,0.92
30,Kevin De Bruyne,MF,31.0,26.9,5.6,7,-1.4,13.7,16,-2.3,-3.7,19.3,0.21,0.51,0.72,0.21,0.72
31,İlkay Gündoğan,MF,31.0,26.1,6.7,8,-1.3,3.3,4,-0.7,-2.0,10.0,0.29,0.13,0.41,0.26,0.38
32,Manuel Akanji,DF,27.0,25.4,1.3,0,1.3,0.4,1,-0.6,0.7,1.7,0.05,0.02,0.07,0.05,0.07
33,Bernardo Silva,"MF,FW",27.0,24.5,2.2,4,-1.8,3.3,5,-1.7,-3.5,5.4,0.09,0.13,0.22,0.09,0.22
34,Jack Grealish,FW,26.0,22.8,4.6,5,-0.4,7.0,7,0.0,-0.4,11.7,0.2,0.31,0.51,0.2,0.51
35,Rúben Dias,DF,25.0,22.2,1.3,0,1.3,0.6,0,0.6,1.9,1.9,0.06,0.03,0.09,0.06,0.09
36,Kyle Walker,DF,32.0,21.8,0.4,0,0.4,0.2,0,0.2,0.6,0.7,0.02,0.01,0.03,0.02,0.03
37,Riyad Mahrez,"FW,MF",31.0,21.3,4.7,4,0.7,7.0,10,-3.0,-2.3,11.8,0.26,0.33,0.59,0.22,0.55
38,Nathan Aké,DF,27.0,20.8,1.6,1,0.6,0.7,0,0.7,1.3,2.3,0.07,0.04,0.11,0.07,0.11
39,Phil Foden,FW,22.0,20.5,5.9,11,-5.1,4.7,6,-1.3,-6.4,10.6,0.29,0.23,0.52,0.29,0.52
40,John Stones,"DF,MF",28.0,20.5,1.0,2,-1.0,1.4,2,-0.6,-1.6,2.4,0.05,0.07,0.12,0.05,0.12
41,João Cancelo,DF,28.0,14.2,0.8,2,-1.2,0.9,1,-0.1,-1.3,1.7,0.06,0.06,0.12,0.06,0.12
42,Julián Álvarez,"FW,MF",22.0,16.3,6.2,8,-1.8,1.8,0,1.8,0.0,8.0,0.43,0.11,0.54,0.38,0.49
43,Aymeric Laporte,DF,28.0,11.0,0.5,0,0.5,0.2,0,0.2,0.7,0.7,0.04,0.02,0.06,0.04,0.06
44,Rico Lewis,"DF,MF",17.0,10.0,0.2,0,0.2,1.5,0,1.5,1.7,1.7,0.02,0.15,0.17,0.02,0.17
45,Stefan Ortega,GK,29.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Cole Palmer,"MF,FW",20.0,4.1,1.2,0,1.2,0.6,1,-0.4,0.8,1.8,0.3,0.14,0.44,0.3,0.44
